host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1981383,2012-03-21,within an hour,FALSE,1,1,Roncesvalles,Entire home/apt,2,6,3,16146,350,28,TRUE,97,10,10,10,10,10,10
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,NA,95,3,TRUE,100,10,9,10,10,10,10
2056128,2012-04-02,within an hour,TRUE,2,2,Bay Street Corridor,Entire home/apt,1,2,1,0,197,68,TRUE,92,9,9,10,10,10,9
2064477,2012-04-03,within a day,FALSE,6,6,Willowdale East,Entire home/apt,1,2,1,NA,155,4,TRUE,100,10,10,10,10,10,10
2064477,2012-04-03,within a day,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,175,1,TRUE,100,10,10,10,10,10,10
2064477,2012-04-03,within a day,FALSE,6,6,Willowdale East,Entire home/apt,2,4,2,NA,225,5,TRUE,72,7,6,10,9,10,8
2064477,2012-04-03,within a day,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,3,1,NA,175,2,TRUE,100,10,10,10,10,10,8
1299598,2011-10-16,within a day,FALSE,1,1,Annex,Private room,1,1,2,NA,99,28,TRUE,91,9,10,10,9,10,8
2082581,2012-04-06,N/A,FALSE,1,1,Dufferin Grove,Entire home/apt,1,2,1,NA,65,3,TRUE,99,10,9,10,10,10,10
377846,2011-02-05,within an hour,FALSE,11,11,East End-Danforth,Entire home/apt,1,3,1,NA,69,38,TRUE,91,9,9,10,10,9,9
1429488,2011-11-21,within an hour,FALSE,4,4,Moss Park,Entire home/apt,1.5,5,3,NA,195,218,TRUE,93,10,9,10,10,9,10
2213896,2012-04-24,N/A,FALSE,1,1,Kensington-Chinatown,Entire home/apt,1,2,1,0,150,112,TRUE,98,10,10,10,10,10,10
1402232,2011-11-13,within an hour,FALSE,6,6,South Parkdale,Entire home/apt,2,9,5,0,199,242,TRUE,97,10,9,10,10,10,10
2260447,2012-04-30,within an hour,TRUE,3,3,Church-Yonge Corridor,Private room,1,2,1,NA,90,338,TRUE,100,10,10,10,10,10,10
591649,2011-05-15,within a few hours,FALSE,2,2,Humewood-Cedarvale,Entire home/apt,1,4,2,NA,140,9,TRUE,98,10,9,10,10,10,10
1805882,2012-02-24,within a few hours,FALSE,4,4,Church-Yonge Corridor,Hotel room,2,3,1,NA,274,7,TRUE,97,10,10,10,10,10,8
2307239,2012-05-06,within an hour,TRUE,1,1,Waterfront Communities-The Island,Entire home/apt,1,4,1,NA,190,62,TRUE,99,10,10,10,10,10,10
1039434,2011-08-30,within a few hours,TRUE,3,3,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,164,55,TRUE,99,10,10,10,10,10,9
